host_time_unix,host_monotonic_s,phase,watts
1788739315.926931,2219557.829673593,active:t08:vision_ccd_to_next_slm,104.05
1788739315.9370093,2219557.839751985,active:t08:vision_ccd_to_next_slm,104.05
1788739315.9470708,2219557.8498135,active:t08:vision_ccd_to_next_slm,104.05
1788739315.9571316,2219557.859874123,active:t08:vision_ccd_to_next_slm,104.05
1788739315.9671986,2219557.869941354,active:t08:vision_ccd_to_next_slm,104.05
1788739315.9773004,2219557.880043301,active:t08:vision_ccd_to_next_slm,104.05
1788739315.9873352,2219557.890078027,active:t08:vision_ccd_to_next_slm,104.05
1788739315.9974017,2219557.900144361,active:t08:vision_ccd_to_next_slm,104.05
1788739316.007473,2219557.91021562,active:t08:vision_ccd_to_next_slm,104.05
1788739316.0175412,2219557.920283886,active:t08:vision_ccd_to_next_slm,104.05
1788739316.0276067,2219557.930349521,active:t08:vision_ccd_to_next_slm,104.05
1788739316.037675,2219557.940417704,active:t08:vision_ccd_to_next_slm,104.05
1788739316.0477438,2219557.950486514,active:t08:vision_ccd_to_next_slm,104.05
1788739316.0578125,2219557.960555197,active:t08:vision_ccd_to_next_slm,104.05
1788739316.067881,2219557.970623966,active:t08:vision_ccd_to_next_slm,104.05
1788739316.077949,2219557.980691565,active:t08:vision_ccd_to_next_slm,104.05
1788739316.0880177,2219557.990760268,active:t08:vision_ccd_to_next_slm,104.05
1788739316.0980856,2219558.000828207,active:t08:vision_ccd_to_next_slm,104.05
1788739316.1081555,2219558.010898101,active:t08:vision_ccd_to_next_slm,104.05
1788739316.1182256,2219558.020968504,active:t08:vision_ccd_to_next_slm,104.05
1788739316.1282928,2219558.031035552,active:t08:vision_ccd_to_next_slm,104.05
1788739316.138361,2219558.041103841,active:t08:vision_ccd_to_next_slm,104.05
1788739316.1484318,2219558.051174511,active:t08:vision_ccd_to_next_slm,104.05
1788739316.1585014,2219558.061244114,active:t08:vision_ccd_to_next_slm,104.05
1788739316.1685727,2219558.071315338,active:t08:vision_ccd_to_next_slm,104.05
1788739316.1786373,2219558.081380017,active:t08:vision_ccd_to_next_slm,104.05
1788739316.1887245,2219558.091467337,active:t08:vision_ccd_to_next_slm,104.05
1788739316.1991072,2219558.101850008,active:t08:vision_ccd_to_next_slm,104.05
1788739316.2090025,2219558.111745426,active:t08:vision_ccd_to_next_slm,104.05
1788739316.2190688,2219558.121811576,active:t08:vision_ccd_to_next_slm,104.05
1788739316.2291367,2219558.131879491,active:t08:vision_ccd_to_next_slm,104.05
1788739316.239205,2219558.14194745,active:t08:vision_ccd_to_next_slm,104.05
1788739316.249274,2219558.15201671,active:t08:vision_ccd_to_next_slm,104.05
1788739316.2593517,2219558.162094458,active:t08:vision_ccd_to_next_slm,104.05
1788739316.2694252,2219558.172167921,active:t08:vision_ccd_to_next_slm,104.05
1788739316.2794905,2219558.182233324,active:t08:vision_ccd_to_next_slm,104.05
1788739316.2895665,2219558.192309322,active:t08:vision_ccd_to_next_slm,104.05
1788739316.2996268,2219558.202369555,active:t08:vision_ccd_to_next_slm,104.05
1788739316.3096964,2219558.212439196,active:t08:vision_ccd_to_next_slm,104.05
1788739316.3197644,2219558.222507223,active:t08:vision_ccd_to_next_slm,104.05
1788739316.329841,2219558.232583584,active:t08:vision_ccd_to_next_slm,104.05
