host_time_unix,host_monotonic_s,phase,watts
1788928442.8549676,45100395.337834984,active:234,42.29
1788928443.1559386,45100395.63880532,active:235,38.54
1788928443.2061348,45100395.68900136,active:235,84.65
1788928443.407051,45100395.88991815,active:236,51.99
1788928443.4572144,45100395.94008186,active:236,51.99
1788928443.70821,45100396.19107746,active:237,38.72
1788928444.0094674,45100396.49233459,active:238,38.54
1788928444.0596192,45100396.54248614,active:238,38.53
1788928444.2603936,45100396.74326041,active:239,38.63
1788928444.3106446,45100396.79351217,active:239,38.63
1788928444.5616562,45100397.04452372,active:240,39.02
1788928444.6118457,45100397.09471292,active:240,39.02
1788928444.7624292,45100397.2452966,active:241,77.96
1788928444.812665,45100397.29553254,active:241,41.89
1788928444.963227,45100397.44609446,active:242,85.35
1788928445.0134277,45100397.49629495,active:242,41.4
1788928445.2644353,45100397.74730255,active:243,40.2
1788928445.3146136,45100397.79748127,active:243,76.76
1788928445.6158202,45100398.09868757,active:244,64.14
1788928445.9171624,45100398.40003,active:245,38.53
1788928445.967277,45100398.450144045,active:245,38.53
1788928446.2683856,45100398.75125254,active:246,38.53
1788928446.318655,45100398.80152225,active:246,78.63
1788928446.569155,45100399.05202241,active:247,38.44
1788928446.819474,45100399.302340835,active:248,38.82
1788928446.8695362,45100399.3524035,active:248,38.63
1788928447.0198665,45100399.50273312,active:249,63.15
1788928447.070028,45100399.55289484,active:249,38.63
1788928447.3205504,45100399.80341719,active:250,38.72
1788928447.5207615,45100400.00362831,active:251,44.56
1788928447.5708895,45100400.05375617,active:251,38.72
1788928447.8214355,45100400.30430369,active:252,39.02
1788928447.9714756,45100400.454343654,active:253,41.59
1788928448.0216377,45100400.50450508,active:253,41.59
1788928448.1722355,45100400.65510272,active:254,39.43
1788928448.2223847,45100400.70525227,active:254,39.43
1788928448.373031,45100400.85589811,active:255,39.33
1788928448.4231806,45100400.90604808,active:255,88.48
1788928448.6240325,45100401.10689985,active:256,39.52
1788928448.6742346,45100401.15710186,active:256,38.73
1788928448.97535,45100401.45821749,active:257,38.62
1788928449.3267689,45100401.809636176,active:258,38.54
1788928449.4769764,45100401.95984382,active:259,41.2
1788928449.7776978,45100402.26056596,active:260,38.82
1788928449.8277655,45100402.3106338,active:260,38.73
1788928450.279037,45100402.76190409,active:261,38.53
1788928450.3291528,45100402.81201969,active:261,38.72
1788928450.5798633,45100403.0627323,active:262,40.51
1788928450.7303958,45100403.21326414,active:263,100.53
1788928451.0819297,45100403.56479714,active:264,38.63
1788928451.2326348,45100403.71550237,active:265,99.89
1788928451.282886,45100403.76575384,active:265,38.63
1788928451.4334617,45100403.91632963,active:266,46.45
1788928451.6846168,45100404.16748409,active:267,40.2
1788928451.734821,45100404.21768811,active:267,40.2
1788928452.035911,45100404.518778995,active:268,40.21
1788928452.086005,45100404.56887216,active:268,40.1
1788928452.2365038,45100404.719371416,active:269,52.47
1788928452.2865477,45100404.769414976,active:269,39.42
1788928452.5877047,45100405.07057349,active:270,39.7
1788928452.9391043,45100405.42197191,active:271,40.68
1788928452.9891274,45100405.47199447,active:271,40.68
1788928453.1396723,45100405.62253931,active:272,45.03
1788928453.1897488,45100405.67261635,active:272,45.03
1788928453.3404038,45100405.823271,active:273,45.06
1788928453.5915606,45100406.074429385,active:274,40.99
1788928453.8424485,45100406.325316176,active:275,40.4
1788928454.093277,45100406.57614416,active:276,41.47
1788928454.3944588,45100406.877325974,active:277,40.49
1788928454.4446435,45100406.92751074,active:277,94.76
1788928454.695359,45100407.17822615,active:278,41.38
1788928454.7455692,45100407.22843652,active:278,41.38
1788928454.8459918,45100407.32885988,active:279,96.71
1788928454.89618,45100407.37904731,active:279,54.63
1788928455.0467565,45100407.52962407,active:280,127.47
1788928455.0969455,45100407.57981429,active:280,141.54
1788928455.2977905,45100407.780658655,active:281,92.69
1788928455.347934,45100407.83080208,active:281,92.69
1788928455.498411,45100407.98127834,active:282,177.17
1788928455.5486434,45100408.03151067,active:282,95.94
1788928455.6992185,45100408.18208701,active:283,91.93
1788928455.7492464,45100408.23211448,active:283,91.93
1788928455.8996294,45100408.38249706,active:284,163.19
1788928456.1002727,45100408.583139755,active:285,125.09
1788928456.2507532,45100408.73362035,active:286,154.5
1788928456.300857,45100408.7837239,active:286,154.5
1788928456.4011943,45100408.88406102,active:287,164.02
1788928456.4512994,45100408.934166014,active:287,97.15
1788928456.5515501,45100409.03441763,active:288,187.77
1788928456.6016126,45100409.08447911,active:288,187.77
1788928456.7018433,45100409.18471058,active:289,135.51
1788928456.752003,45100409.23486979,active:289,97.74
1788928456.9025493,45100409.38541733,active:290,141.81
1788928456.9526255,45100409.43549253,active:290,141.81
1788928457.1029837,45100409.5858507,active:291,143.28
1788928457.1531205,45100409.635987245,active:291,143.28
1788928457.2535279,45100409.73639513,active:292,163.15
1788928457.3034737,45100409.78634034,active:292,163.15
1788928457.454034,45100409.93690133,active:293,149.4
1788928457.6545973,45100410.137465075,active:294,99.02
1788928457.7046897,45100410.18755714,active:294,99.02
1788928457.804822,45100410.28768902,active:295,158.73
1788928457.8548753,45100410.337743096,active:295,107.74
1788928458.0051012,45100410.48796859,active:296,131.03
1788928458.055177,45100410.53804392,active:296,86.5
1788928458.2053847,45100410.68825237,active:297,153.53
1788928458.255464,45100410.73833131,active:297,100.27
1788928458.4056642,45100410.88853114,active:298,152.23
